# theta1,theta2 in radians, 100 Hz
-0.5921495812,1.3258454175
-0.5921495812,1.3258539768
-0.5921495812,1.3258625361
-0.5921495812,1.3258710955
-0.5921495812,1.3258796548
-0.5921495812,1.3258882141
-0.5921495812,1.3258967734
-0.5921495812,1.3259053327
-0.5921495812,1.3259138920
-0.5921495812,1.3259224513
-0.5921495812,1.3259310106
-0.5921495812,1.3259395700
-0.5921495812,1.3259481293
-0.5921495812,1.3259566886
-0.5921495812,1.3259652479
-0.5921495812,1.3259738072
-0.5921495812,1.3259823665
-0.5921495812,1.3259909258
-0.5921495812,1.3259994851
-0.5921495812,1.3260080445
-0.5921495812,1.3260166038
-0.5921495812,1.3260251631
-0.5921495812,1.3260337224
-0.5921495812,1.3260422817
-0.5921495812,1.3260508410
-0.5921495812,1.3260594003
-0.5921495812,1.3260679596
-0.5921495812,1.3260765190
-0.5921495812,1.3260850783
-0.5921495812,1.3260936376
-0.5921495812,1.3261021969
-0.5921495812,1.3261107562
-0.5921495812,1.3261193155
-0.5921495812,1.3261278748
-0.5921495812,1.3261364341
-0.5921495812,1.3261449935
-0.5921495812,1.3261535528
-0.5921495812,1.3261621121
-0.5921495812,1.3261706714
-0.5921495812,1.3261792307
-0.5921495812,1.3261877900
-0.5921495812,1.3261963493
-0.5921495812,1.3262049087
-0.5921495812,1.3262134680
-0.5921495812,1.3262220273
-0.5921495812,1.3262305866
-0.5921495812,1.3262391459
-0.5921495812,1.3262477052
-0.5921495812,1.3262562645
-0.5921495812,1.3262648238
-0.5921495812,1.3262733832
-0.5921495812,1.3262819425
-0.5921495812,1.3262905018
-0.5921495812,1.3262990611
-0.5921495812,1.3263076204
-0.5921495812,1.3263161797
-0.5921495812,1.3263247390
-0.5921495812,1.3263332983
-0.5921495812,1.3263418577
-0.5921495812,1.3263504170
-0.5921495812,1.3263589763
-0.5921495812,1.3263675356
-0.5921495812,1.3263760949
-0.5921495812,1.3263846542
-0.5921495812,1.3263932135
-0.5921495812,1.3264017728
-0.5921495812,1.3264103322
-0.5921495812,1.3264188915
-0.5921495812,1.3264274508
-0.5921495812,1.3264360101
-0.5921495812,1.3264445694
-0.5921495812,1.3264531287
-0.5921495812,1.3264616880
-0.5921495812,1.3264702473
-0.5921495812,1.3264788067
-0.5921495812,1.3264873660
-0.5921495812,1.3264959253
-0.5921495812,1.3265044846
-0.5921495812,1.3265130439
-0.5921495812,1.3265216032
-0.5921495812,1.3265301625
-0.5921495812,1.3265387218
-0.5921495812,1.3265472812
-0.5921495812,1.3265558405
-0.5921495812,1.3265643998
-0.5921495812,1.3265729591
-0.5921495812,1.3265815184
-0.5921495812,1.3265900777
-0.5921495812,1.3265986370
-0.5921495812,1.3266071963
-0.5921495812,1.3266157557
-0.5921495812,1.3266243150
-0.5921495812,1.3266328743
-0.5921495812,1.3266414336
-0.5921495812,1.3266499929
-0.5921495812,1.3266585522
-0.5921495812,1.3266671115
-0.5921495812,1.3266756708
-0.5921495812,1.3266842302
-0.5921495812,1.3266927895
-0.5921495812,1.3267013488
-0.5921495812,1.3267099081
-0.5921495812,1.3267184674
-0.5921495812,1.3267270267
-0.5921495812,1.3267355860
-0.5921495812,1.3267441453
-0.5921495812,1.3267527047
-0.5921495812,1.3267612640
-0.5921495812,1.3267698233
-0.5921495812,1.3267783826
-0.5921495812,1.3267869419
-0.5921495812,1.3267955012
-0.5921495812,1.3268040605
-0.5921495812,1.3268126198
-0.5921495812,1.3268211792
-0.5921495812,1.3268297385
-0.5921495812,1.3268382978
-0.5921495812,1.3268468571
-0.5921495812,1.3268554164
-0.5921495812,1.3268639757
-0.5921495812,1.3268725350
